user_id,username,role,country,city,browser,behaviour_profile,account_created,active
1,user_0001,Customer,Ethiopia,Addis Ababa,Firefox 140.0 (Ubuntu),Casual Visitor,2026-04-18,True
2,user_0002,Customer,Singapore,Singapore,Chrome 138.0 (Windows 11),Casual Visitor,2024-01-18,True
3,user_0003,Customer,Singapore,Singapore,Chrome Mobile (Android),Shopper,2023-09-06,True
4,user_0004,Customer,United States,New York,Firefox 140.0 (Ubuntu),Shopper,2024-09-29,True
5,user_0005,API Client,Uganda,Kampala,Edge 138.0 (Windows 11),Casual Visitor,2024-08-13,True
6,user_0006,Customer,United Kingdom,London,Chrome 138.0 (Windows 11),Registered User,2024-07-10,True
7,user_0007,Customer,Germany,Berlin,Chrome Mobile (Android),Registered User,2024-03-02,True
8,user_0008,Visitor,Tanzania,Dar es Salaam,Firefox 140.0 (Ubuntu),Registered User,2024-01-05,False
9,user_0009,Visitor,Tanzania,Dar es Salaam,Safari 18.0 (macOS),Shopper,2026-06-15,True
10,user_0010,Visitor,United Kingdom,London,Edge 138.0 (Windows 11),Registered User,2025-11-23,True
11,user_0011,Visitor,Ethiopia,Addis Ababa,Firefox 140.0 (Ubuntu),Casual Visitor,2023-12-12,True
12,user_0012,Customer,Singapore,Singapore,Chrome 138.0 (Windows 11),Casual Visitor,2026-02-01,True
13,user_0013,Visitor,United Kingdom,London,Firefox 140.0 (Ubuntu),Administrator,2025-05-15,True
14,user_0014,Customer,United Kingdom,London,Safari 18.0 (macOS),Registered User,2023-09-17,True
15,user_0015,Visitor,Uganda,Kampala,Chrome Mobile (Android),Shopper,2023-09-14,True
16,user_0016,Visitor,Germany,Berlin,Firefox 140.0 (Ubuntu),Shopper,2023-12-22,True
17,user_0017,Visitor,Kenya,Nairobi,Firefox 140.0 (Ubuntu),Registered User,2024-07-03,True
18,user_0018,Visitor,Ethiopia,Mekelle,Safari 18.0 (macOS),Shopper,2024-07-25,False
19,user_0019,Customer,Kenya,Nairobi,Chrome Mobile (Android),Registered User,2025-09-22,True
20,user_0020,Visitor,United Kingdom,London,Firefox 140.0 (Ubuntu),Shopper,2026-02-19,False
21,user_0021,Visitor,United States,New York,Chrome 138.0 (Windows 11),Registered User,2023-09-09,True
22,user_0022,Visitor,Singapore,Singapore,Firefox 140.0 (Ubuntu),Shopper,2025-12-17,True
23,user_0023,Customer,Singapore,Singapore,Safari 18.0 (macOS),Casual Visitor,2024-06-02,True
24,user_0024,Visitor,United States,New York,Chrome Mobile (Android),Administrator,2026-05-04,True
25,user_0025,API Client,India,Mumbai,Chrome Mobile (Android),Registered User,2025-11-22,True
26,user_0026,Visitor,India,Mumbai,Chrome Mobile (Android),Shopper,2025-05-11,True
27,user_0027,Customer,Singapore,Singapore,Safari 18.0 (macOS),API Client,2024-07-06,True
28,user_0028,Visitor,India,Mumbai,Firefox 140.0 (Ubuntu),Casual Visitor,2025-06-26,True
29,user_0029,Customer,Singapore,Singapore,Chrome 138.0 (Windows 11),Casual Visitor,2026-01-30,True
30,user_0030,Administrator,Tanzania,Dar es Salaam,Edge 138.0 (Windows 11),Casual Visitor,2024-10-04,True
31,user_0031,Visitor,India,Mumbai,Chrome Mobile (Android),Shopper,2023-08-09,True
32,user_0032,Visitor,India,Mumbai,Chrome 138.0 (Windows 11),Shopper,2024-04-03,True
33,user_0033,Customer,Germany,Berlin,Chrome 138.0 (Windows 11),Shopper,2025-05-16,False
34,user_0034,Visitor,Ethiopia,Addis Ababa,Edge 138.0 (Windows 11),Registered User,2025-01-08,True
35,user_0035,Visitor,Tanzania,Dar es Salaam,Firefox 140.0 (Ubuntu),Shopper,2024-10-03,True
36,user_0036,Visitor,Tanzania,Dar es Salaam,Chrome Mobile (Android),Casual Visitor,2024-03-27,True
37,user_0037,API Client,Singapore,Singapore,Firefox 140.0 (Ubuntu),Casual Visitor,2024-06-28,True
38,user_0038,Administrator,Tanzania,Dar es Salaam,Firefox 140.0 (Ubuntu),Casual Visitor,2025-01-02,False
39,user_0039,Visitor,United States,Dallas,Chrome Mobile (Android),Shopper,2024-01-04,True
